用户ID,首次购买时间,首次购买年月,注册年月,安装年月,渠道
12346.0,2010-03-02 13:08:00,2010-03-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,抖音
12347.0,2010-10-31 14:20:00,2010-10-01 00:00:00,2010-09-01 00:00:00,2010-06-01 00:00:00,百度
12348.0,2010-09-27 14:59:00,2010-09-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12349.0,2010-04-29 13:20:00,2010-04-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12350.0,2011-02-02 16:01:00,2011-02-01 00:00:00,2010-11-01 00:00:00,2010-02-01 00:00:00,微信
12351.0,2010-11-29 15:23:00,2010-11-01 00:00:00,2010-05-01 00:00:00,2010-01-01 00:00:00,百度
12352.0,2010-11-12 10:20:00,2010-11-01 00:00:00,2010-07-01 00:00:00,2010-07-01 00:00:00,微信
12353.0,2010-10-27 12:44:00,2010-10-01 00:00:00,2010-10-01 00:00:00,2010-08-01 00:00:00,百度
12354.0,2011-04-21 13:11:00,2011-04-01 00:00:00,2010-07-01 00:00:00,2010-04-01 00:00:00,抖音
12355.0,2010-05-21 11:59:00,2010-05-01 00:00:00,2010-04-01 00:00:00,2010-03-01 00:00:00,抖音
12356.0,2010-10-11 09:42:00,2010-10-01 00:00:00,2010-07-01 00:00:00,2010-02-01 00:00:00,微信
12357.0,2010-11-16 10:05:00,2010-11-01 00:00:00,2010-02-01 00:00:00,2010-01-01 00:00:00,抖音
12358.0,2009-12-08 07:59:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12359.0,2009-12-05 13:32:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
12360.0,2010-02-22 09:32:00,2010-02-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,微信
12361.0,2010-01-26 14:37:00,2010-01-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,微信
12362.0,2009-12-01 10:10:00,2009-12-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12363.0,2011-04-11 13:29:00,2011-04-01 00:00:00,2010-07-01 00:00:00,2010-03-01 00:00:00,百度
12364.0,2011-08-19 15:24:00,2011-08-01 00:00:00,2010-10-01 00:00:00,2010-08-01 00:00:00,抖音
12365.0,2011-02-21 13:51:00,2011-02-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12366.0,2010-03-16 10:28:00,2010-03-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,百度
12367.0,2011-12-05 16:48:00,2011-12-01 00:00:00,2010-02-01 00:00:00,2010-01-01 00:00:00,抖音
12368.0,2010-03-21 15:56:00,2010-03-01 00:00:00,2010-02-01 00:00:00,2009-12-01 00:00:00,微信
12369.0,2010-03-08 08:09:00,2010-03-01 00:00:00,2010-03-01 00:00:00,2010-02-01 00:00:00,百度
12370.0,2010-02-09 09:41:00,2010-02-01 00:00:00,2010-02-01 00:00:00,2009-12-01 00:00:00,百度
12371.0,2010-03-04 18:23:00,2010-03-01 00:00:00,2010-03-01 00:00:00,2010-03-01 00:00:00,百度
12372.0,2011-02-16 12:46:00,2011-02-01 00:00:00,2010-07-01 00:00:00,2010-02-01 00:00:00,微信
12373.0,2010-02-04 12:08:00,2010-02-01 00:00:00,2010-01-01 00:00:00,2009-12-01 00:00:00,微信
12374.0,2010-04-30 14:01:00,2010-04-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,微信
12375.0,2011-09-02 14:23:00,2011-09-01 00:00:00,2011-07-01 00:00:00,2010-10-01 00:00:00,微信
12376.0,2010-10-18 08:42:00,2010-10-01 00:00:00,2010-09-01 00:00:00,2010-03-01 00:00:00,抖音
12377.0,2010-04-29 15:34:00,2010-04-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12378.0,2010-05-26 14:07:00,2010-05-01 00:00:00,2010-04-01 00:00:00,2010-02-01 00:00:00,抖音
12379.0,2010-06-23 12:49:00,2010-06-01 00:00:00,2010-06-01 00:00:00,2010-02-01 00:00:00,百度
12380.0,2010-02-15 12:05:00,2010-02-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,微信
12381.0,2011-08-12 09:57:00,2011-08-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,微信
12383.0,2010-12-22 14:28:00,2010-12-01 00:00:00,2010-10-01 00:00:00,2010-01-01 00:00:00,抖音
12384.0,2011-08-10 11:23:00,2011-08-01 00:00:00,2011-06-01 00:00:00,2011-05-01 00:00:00,微信
12385.0,2010-11-25 15:14:00,2010-11-01 00:00:00,2010-05-01 00:00:00,2010-05-01 00:00:00,百度
12386.0,2010-12-08 09:53:00,2010-12-01 00:00:00,2010-05-01 00:00:00,2010-05-01 00:00:00,微信
12387.0,2010-10-20 16:27:00,2010-10-01 00:00:00,2010-01-01 00:00:00,2010-01-01 00:00:00,百度
12388.0,2010-05-06 12:54:00,2010-05-01 00:00:00,2009-12-01 00:00:00,2009-12-01 00:00:00,抖音
