SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
2496445,425548,1.0,8,-870.0,-875.0,11439.9,11439.9
2207391,431542,1.0,2,-1036.0,-1051.0,30998.295,30998.295
1567857,422018,0.0,80,-1227.0,-1227.0,5236.245,5236.245
1557283,447906,0.0,56,-259.0,-255.0,20183.175,20183.175
1377680,440516,1.0,16,-58.0,-65.0,12702.69,12702.69
2708016,424423,1.0,9,-385.0,-415.0,4505.535,4505.535
1570038,437538,0.0,55,-2007.0,-2008.0,4500.0,4500.0
2597845,411867,1.0,9,-2482.0,-2481.0,3468.555,3468.555
1206342,432869,0.0,8,-2638.0,-2645.0,8100.0,8100.0
2583492,443138,1.0,10,-73.0,-76.0,17982.0,17982.0
1361273,415995,0.0,15,-70.0,-70.0,6224.4,6224.4
1919801,452243,1.0,1,-287.0,-303.0,9662.04,9662.04
1585213,412948,1.0,6,-837.0,-865.0,11196.9,11196.9
2805031,443817,1.0,4,-603.0,-614.0,8473.95,8473.95
1894463,425153,1.0,3,-2010.0,-2050.0,4880.205,4880.205
2154292,418482,0.0,12,-2472.0,-2488.0,5625.0,5625.0
2234454,454454,1.0,5,-2527.0,-2527.0,9842.4,9842.4
2747932,454751,1.0,2,-920.0,-927.0,10576.485,10576.485
2252896,407045,0.0,53,-1513.0,-1513.0,777.15,777.15
2775996,444638,1.0,9,-912.0,-915.0,8405.91,8405.91
2183580,452030,1.0,6,-555.0,-554.0,79090.965,79090.965
2403580,422268,0.0,19,-498.0,-500.0,13457.88,13457.88
1932063,424747,1.0,21,-865.0,-876.0,14715.72,202.365
2395091,416401,1.0,9,-316.0,-317.0,8631.225,8631.225
1584835,439620,1.0,4,-1109.0,-1107.0,5241.24,2514.96
1592275,426939,0.0,143,-30.0,-46.0,3375.0,3375.0
1609525,419868,1.0,5,-61.0,-60.0,3188.025,3188.025
1723363,403234,0.0,6,-506.0,-506.0,76.23,76.23
2503007,411330,1.0,3,-1532.0,-1540.0,17639.775,17639.775
1751720,415875,1.0,4,-648.0,-660.0,45866.115,45866.115
2800456,425319,1.0,3,-1358.0,-1363.0,16088.76,16088.76
2191146,455176,1.0,5,-648.0,-668.0,25822.98,25822.98
1334019,401540,0.0,69,-753.0,-753.0,338.355,338.355
1285107,453091,1.0,5,-2484.0,-2493.0,4788.45,4788.45
2156818,420274,1.0,4,-2338.0,-2363.0,4924.395,4924.395
1822880,428610,0.0,22,-1002.0,-1002.0,4500.0,4500.0
2011855,425415,1.0,3,-1862.0,-1865.0,8373.285,8373.285
1311664,404479,1.0,4,-1000.0,-1007.0,7771.635,7771.635
1597234,441667,1.0,1,-626.0,-655.0,30381.255,30381.255
1623545,445691,1.0,3,-2122.0,-2130.0,2509.74,2509.74
1030295,431177,0.0,96,-1018.0,-1018.0,2184.615,2184.615
1976079,417688,0.0,33,-1369.0,-1369.0,3600.0,3600.0
1488254,420373,1.0,6,-2192.0,-2184.0,14853.645,3.645
1982703,424751,1.0,2,-2243.0,-2253.0,3617.955,3617.955
1061856,404085,2.0,5,-439.0,-462.0,917346.96,917346.96
1295220,453413,0.0,127,-718.0,-718.0,250.02,250.02
1918961,439436,1.0,18,-360.0,-370.0,55809.855,55809.855
1052369,419187,0.0,80,-149.0,-152.0,19398.825,19398.825
1151892,452612,1.0,18,-250.0,-244.0,33643.845,6945.48
1424928,446573,1.0,9,-1170.0,-1158.0,18464.76,18248.31
1648090,453987,1.0,5,-2371.0,-2375.0,7848.36,7848.36
1101223,428148,3.0,4,-935.0,-935.0,25260.795,25260.795
1105577,414645,0.0,39,-1234.0,-1246.0,9000.0,9000.0
1205731,412084,1.0,2,-2284.0,-2296.0,8328.645,8328.645
2717692,419485,1.0,9,-2596.0,-2594.0,5197.995,5197.995
2028150,443010,0.0,32,-2390.0,-2390.0,59.13,59.13
2764848,425599,1.0,7,-1842.0,-1854.0,2285.595,2285.595
2479618,418658,2.0,5,-2873.0,-2873.0,21433.275,21433.275
1282185,424020,0.0,26,-2247.0,-2263.0,9000.0,9000.0
1359185,440329,1.0,11,-294.0,-309.0,18692.775,18692.775
1194042,456216,1.0,12,-2178.0,-2206.0,19743.075,1.125
1960118,427120,1.0,22,-78.0,-83.0,53174.88,53174.88
2628962,433753,1.0,20,-369.0,-364.0,9182.43,8035.155
1845957,400300,1.0,2,-262.0,-276.0,11740.905,11740.905
1107191,452925,1.0,5,-1245.0,-1238.0,4229.595,3615.84
1266195,426253,0.0,105,-18.0,-18.0,179.865,179.865
1598148,403895,1.0,9,-2341.0,-2374.0,5393.115,5393.115
1515329,448084,1.0,5,-482.0,-517.0,9656.505,280.98
2469327,414160,1.0,18,-886.0,-902.0,29435.355,29435.355
1669171,451311,0.0,87,-1276.0,-1296.0,3375.0,3375.0
1113367,428616,0.0,104,-376.0,-391.0,9000.0,9000.0
2064496,419868,1.0,3,-603.0,-605.0,5497.83,5497.83
2662889,438839,0.0,3,-190.0,-190.0,1620.0,1620.0
1384575,410754,1.0,1,-2281.0,-2288.0,10459.8,10459.8
2522534,417301,3.0,4,-39.0,-49.0,10652.535,10652.535
1460769,454436,0.0,86,-812.0,-812.0,67.815,67.815
2802999,429261,1.0,5,-82.0,-86.0,26487.315,26487.315
1286889,427021,1.0,6,-1344.0,-1333.0,10863.045,8998.515
2581635,400616,0.0,70,-1055.0,-1055.0,759.51,759.51
1082593,425573,0.0,17,-603.0,-603.0,1314.9,1314.9
1444521,411515,0.0,48,-2063.0,-2072.0,5625.0,5625.0
2304641,407986,1.0,13,-688.0,-692.0,6679.485,6679.485
1595975,427028,0.0,53,-1826.0,-1856.0,732.195,732.195
1109666,417908,0.0,10,-337.0,-337.0,7961.13,7961.13
2825286,438457,1.0,16,-441.0,-459.0,62480.52,62480.52
1793372,421162,0.0,32,-1546.0,-1555.0,9000.0,9000.0
2824072,403891,1.0,12,-264.0,-263.0,57788.73,57788.73
1586192,450630,0.0,4,-2679.0,-2677.0,6750.0,6750.0
1515069,442805,0.0,22,-193.0,-193.0,24.525,24.525
1865184,401952,0.0,85,-1510.0,-1523.0,3375.0,3375.0
1287644,443994,2.0,22,-346.0,-352.0,31674.87,31674.87
1377211,417143,1.0,2,-632.0,-688.0,14272.695,14272.695
1079823,401069,1.0,10,-694.0,-695.0,38934.18,38934.18
1437137,414235,1.0,2,-1705.0,-1714.0,6943.095,6943.095
1333315,406565,1.0,2,-266.0,-265.0,4657.005,4657.005
1800128,410622,1.0,10,-1105.0,-1114.0,9921.915,9921.915
1946229,442673,1.0,7,-2143.0,-2149.0,3276.36,3276.36
1009737,452741,1.0,6,-439.0,-495.0,7510.86,7510.86
2141653,401486,1.0,1,-246.0,-259.0,8405.01,8405.01
2049588,409627,0.0,6,-403.0,-408.0,2352.6,2352.6
